fifa_code,as_of,form,record,gf,ga,recent
POR,2026-06-07,WWDLWDWW,5W-2D-1L,19,8,"2-2 Hungary (H, FIFA World Cup qualification); 0-2 Republic of Ireland (A, FIFA World Cup qualification); 9-1 Armenia (H, FIFA World Cup qualification); 0-0 Mexico (A, Friendly); 2-0 United States (A, Friendly); 2-1 Chile (H, Friendly)"
QAT,2026-06-07,DWLLDLLD,1W-3D-4L,4,9,"1-2 Zimbabwe (H, Friendly); 0-1 Palestine (H, Arab Cup); 1-1 Syria (H, Arab Cup); 0-3 Tunisia (H, Arab Cup); 0-1 Republic of Ireland (A, Friendly); 0-0 El Salvador (N, Friendly)"
RSA,2026-06-07,WLWLDLDW,3W-2D-3L,9,9,"3-2 Zimbabwe (N, African Cup of Nations); 1-2 Cameroon (N, African Cup of Nations); 1-1 Panama (H, Friendly); 1-2 Panama (H, Friendly); 0-0 Nicaragua (H, Friendly); 1-0 Jamaica (N, Friendly)"
SCO,2026-06-07,WWLWLLWW,5W-0D-3L,19,10,"2-3 Greece (A, FIFA World Cup qualification); 4-2 Denmark (H, FIFA World Cup qualification); 0-1 Japan (H, Friendly); 0-1 Ivory Coast (N, Friendly); 4-1 Curaçao (H, Friendly); 4-0 Bolivia (N, Friendly)"
SEN,2026-06-07,WWWWLWWL,6W-0D-2L,15,8,"1-0 Mali (N, African Cup of Nations); 1-0 Egypt (N, African Cup of Nations); 0-3 Morocco (A, African Cup of Nations); 2-0 Peru (N, Friendly); 3-1 Gambia (H, Friendly); 2-3 United States (A, Friendly)"
SUI,2026-06-07,WDWDLDWD,3W-4D-1L,15,8,"4-1 Sweden (H, FIFA World Cup qualification); 1-1 Kosovo (A, FIFA World Cup qualification); 3-4 Germany (H, Friendly); 0-0 Norway (A, Friendly); 4-1 Jordan (H, Friendly); 1-1 Australia (N, Friendly)"
SWE,2026-06-07,LLLDWWLD,2W-2D-4L,11,16,"1-4 Switzerland (A, FIFA World Cup qualification); 1-1 Slovenia (H, FIFA World Cup qualification); 3-1 Ukraine (N, FIFA World Cup qualification); 3-2 Poland (H, FIFA World Cup qualification); 1-3 Norway (A, Friendly); 2-2 Greece (H, Friendly)"
TUN,2026-06-07,WLDDWDLL,2W-3D-3L,8,12,"1-1 Tanzania (N, African Cup of Nations); 1-1 Mali (N, African Cup of Nations); 1-0 Haiti (N, Friendly); 0-0 Canada (A, Friendly); 0-1 Austria (A, Friendly); 0-5 Belgium (A, Friendly)"
TUR,2026-06-07,WWWDWWWW,7W-1D-0L,22,5,"2-0 Bulgaria (H, FIFA World Cup qualification); 2-2 Spain (A, FIFA World Cup qualification); 1-0 Romania (H, FIFA World Cup qualification); 1-0 Kosovo (A, FIFA World Cup qualification); 4-0 North Macedonia (H, Friendly); 2-1 Venezuela (N, Friendly)"
URU,2026-06-07,WDWWDLDD,3W-4D-1L,8,7,"1-0 Dominican Republic (N, Friendly); 2-1 Uzbekistan (N, Friendly); 0-0 Mexico (A, Friendly); 1-5 United States (A, Friendly); 1-1 England (A, Friendly); 0-0 Algeria (N, Friendly)"
USA,2026-06-07,DWWWLLWL,4W-1D-3L,16,15,"2-1 Paraguay (H, Friendly); 5-1 Uruguay (H, Friendly); 2-5 Belgium (H, Friendly); 0-2 Portugal (H, Friendly); 3-2 Senegal (H, Friendly); 1-2 Germany (H, Friendly)"
UZB,2026-06-07,WLWDDWDL,3W-3D-2L,10,7,"2-0 Egypt (N, Al Ain International Cup); 0-0 Iran (N, Al Ain International Cup); 2-2 China (N, Friendly); 3-1 Gabon (H, FIFA Series); 0-0 Venezuela (H, FIFA Series); 0-2 Canada (A, Friendly)"
